Customer_ID,Wines_Products,Fruits_Products,Meat_Products,Fish_Products,Sweet_Products
1,239,10,554,254,87
2,464,5,64,7,0
3,57,0,27,0,0
4,19,0,5,0,0
5,637,47,237,12,19
6,43,12,23,29,15
7,185,2,88,15,5
8,18,2,19,0,2
9,460,35,422,33,12
10,32,1,64,16,12
11,136,1,12,0,3
12,2,3,6,4,1
13,509,0,65,7,11
14,68,0,16,0,0
15,14,0,3,0,0
16,34,11,137,179,61
17,15,0,11,0,2
18,0,7,5,26,2
19,5,9,20,6,8
20,5,7,24,19,14
21,11,0,7,3,1
22,275,11,68,25,7
23,544,35,133,23,151
24,215,7,33,3,0
25,466,0,224,119,49
26,760,53,400,17,93
27,19,3,6,4,2
28,345,53,528,98,75
29,206,0,46,3,2
30,656,80,455,52,107
31,90,38,67,33,36
32,478,0,193,110,75
33,284,0,55,0,6
34,0,0,2,3,3
35,23,0,11,3,2
36,125,17,52,3,19
37,219,3,60,12,9
38,332,194,377,149,125
39,1288,20,613,80,61
40,35,0,11,0,0
41,556,14,717,210,0
42,138,3,38,4,0
43,24,0,7,0,0
44,279,83,88,32,14
45,1,2,8,4,3
46,28,23,29,29,14
47,515,47,181,149,95
48,901,31,345,75,31
49,199,9,57,20,21
50,172,10,125,21,13
51,123,133,142,71,44
52,399,4,30,6,4
53,17,0,2,0,0
54,952,12,180,47,12
55,56,19,29,2,14
56,777,30,163,0,51
57,154,0,50,6,11
58,130,0,16,0,0
59,9,3,15,2,3
60,95,11,35,0,4
61,182,74,298,162,149
62,493,70,324,146,40
63,19,3,19,4,5
64,918,21,118,13,10
65,330,5,159,36,27
66,901,61,757,186,163
67,29,1,11,0,0
68,235,6,45,8,9
69,198,2,43,0,12
70,462,0,24,6,0
71,158,35,179,0,0
72,229,27,71,13,3
73,373,14,83,6,9
74,5,1,7,2,1
75,47,90,94,123,103
76,91,65,52,10,44
77,516,56,449,86,33
78,283,112,151,51,72
79,1170,48,320,42,32
80,6,16,11,11,1
81,315,0,31,4,0
82,374,64,116,84,25
83,534,5,47,0,5
84,294,142,218,164,58
85,308,85,137,102,45
86,67,15,80,17,11
87,9,0,7,2,0
88,27,0,12,0,1
89,824,32,162,42,32
90,102,9,63,2,9
91,1,11,5,4,6
92,792,86,740,67,51
93,388,14,218,91,14
94,1060,61,835,80,20
95,434,137,400,45,137
96,25,0,22,2,3
97,908,43,735,40,194
98,13,1,29,3,0
99,3,3,7,6,2
100,174,77,203,6,24
101,23,0,26,7,15
102,2,23,11,8,6
103,267,38,701,149,165
104,941,14,397,76,58
105,163,23,424,27,65
106,31,9,27,16,9
107,398,61,265,138,61
108,243,131,217,85,6
109,746,8,125,11,8
110,704,129,853,120,74
111,14,36,11,3,26
112,9,1,7,0,3
113,816,66,549,216,66
114,293,35,179,46,59
115,6,1,2,2,0
116,302,29,131,32,0
117,349,4,78,6,0
118,65,36,74,38,20
119,422,7,238,69,46
120,6,4,1,7,2
121,22,2,12,0,2
122,464,5,64,7,0
123,356,80,329,138,17
124,59,0,12,0,0
125,1,3,2,20,30
126,40,2,15,8,0
127,146,0,93,7,13
128,13,4,20,0,0
129,4,2,5,0,0
130,972,59,913,25,19
131,707,21,250,85,43
132,162,61,83,97,57
133,787,20,204,0,0
134,141,15,153,67,31
135,529,0,356,63,28
136,18,3,19,3,3
137,1493,86,454,112,43
138,48,13,57,24,15
139,46,7,59,2,4
140,588,7,76,110,15
141,340,21,134,258,14
142,135,9,39,4,0
143,379,4,93,12,9
144,18,3,17,3,0
145,584,44,212,46,8
